dldcacqyyz,"['kissing-blushing', 'in-tears', 'flag-france']"
ijxbnvcvvl,"['kissing-blushing', 'in-tears', 'flag-france']"
uwaspmjggl,"['new-moon', 'smiling-three-hearts']"
jitpfjuflt,"['worried', 'sunglasses']"
wddpwvomgm,"['monocle', 'extremely-angry']"
lcavhqdiez,"['horrified-cat', 'vomiting', 'flag-white']"
osuayirhwd,"['grinning-squinting-eyes', 'tears-of-joy']"
axdlregreg,"['money-lover', 'angry-cat']"
lxyiaolyhu,"['kissing', 'heart-eyes-cat']"
qlnrrzptnt,"['cold', 'smirk']"
qhhosqjazq,"['robot', 'in-tears']"
zrjrulomzi,"['full-moon', 'unamused']"
bzqlcaprzc,"['raised-eyebrow', 'smirk']"
cfxhwitvqv,"['sneezing', 'slightly-frowning']"
iyptppekyj,"['expressionless', 'raised-eyebrow', 'fist-bump']"
jakmtbiguq,"['slight-smile', 'sleeping']"
zddmgzjoeq,"['lying', 'worried']"
ljkzrcgcve,"['alien', 'hot']"
fhqyirxvkv,"['scowl', 'rolling-eyes']"
jcgajvrfyr,"['weary', 'in-tears']"
assshyrktm,"['tears-of-joy', 'squinting-tongue']"
pjnkzbyvjf,"['smiling-three-hearts', 'zipper-mouth']"
slmgpounbc,"['kissing-blushing', 'sad-relieved']"
ilznwggihj,"['horrified', 'grinning-cat']"
nxqhlarotu,"['thinking', 'money-lover']"
hngzvzpygn,"['tired', 'grinning-cat']"
yeylhuyuyw,"['confused', 'laughing-cat']"
pbikkwidbz,"['crying', 'woozy']"
iktqrospco,"['scowl', 'head-hurt', 'flag-trans']"
ppyrvcxtcx,"['med-mask', 'hand-over-mouth']"
bvikjpaphj,"['smirk', 'kissing-heart']"
dousftixkj,"['lying', 'tears-of-joy']"
babndgwqjh,"['cursing', 'confounded']"
lblnvenysk,"['mouthless', 'nauseated']"
gisipujnzy,"['clown', 'smile-halo', 'flag-turkey']"
yykbqlbcjn,"['tired', 'surprised']"
rpfyugkgtz,"['smiling', 'clown']"
rfgvnueuhj,"['smile-halo', 'ogre']"
qaukpbukye,"['alien', 'head-hurt']"
etlnjlglqi,"['clown', 'tired']"
kjfdljjuij,"['shushing', 'surprised']"
tpmfusdevq,"['squinting-tongue', 'grimacing']"
osmrlbdbai,"['scowl', 'smirk']"
odexnjewvn,"['vomiting', 'slightly-frowning']"
lrrhuyaexq,"['cold-sweat', 'frowning']"
xagbajodoz,"['demon-angry', 'licking-lips']"
auekxtooxr,"['crying', 'winking']"
ckucjimfgx,"['clown', 'smile-halo']"
iklwiogvgt,"['relieved', 'sad-cat', 'flag-japan']"
azcmrhgvsx,"['cold', 'monocle']"
zbdeorirbx,"['new-moon', 'kissing-heart']"
vpjbgkjsuo,"['sun', 'dizzy']"
ftjybavobf,"['frowning', 'partying']"
hfavtkuykk,"['beaming-closed-eyes', 'woozy']"
ijgksdypeo,"['alien', 'beaming-closed-eyes']"
pnzhvswyma,"['jack-o-lantern', 'kissing-cat']"
lutfszfzhj,"['kissing-heart', 'steam-from-nose']"
fxkvyhsleq,"['kissing-cat', 'grinning-closed-eyes']"
elizldzvyj,"['stars-eyes', 'grimacing']"
ynzuyyppgr,"['full-moon', 'unamused']"
lexrjytlcc,"['zipper-mouth', 'winking-tongue']"
wgvmsxhshf,"['winking', 'money-lover']"
swtmutkwgp,"['angry-cat', 'sunglasses', 'victory-hand']"
ekrzetjiln,"['grinning-sweat', 'smirking-cat']"
ycqsahhrmc,"['woozy', 'persevering', 'goggles']"
ienksndypd,"['cursing', 'pleading']"
bosyezrvsx,"['smirk', 'pleading']"
tfqwasqmil,"['cowboy', 'lying']"
tsauqzpfky,"['slight-smile', 'persevering']"
hpvvqfygeo,"['blushing', 'happy-cat']"
dztdfawswp,"['demon-smiling', 'angry']"
jffniqtxwr,"['hand-over-mouth', 'grimacing']"
locbnlzwwq,"['partying', 'sleeping']"
cecbcvuglj,"['hearts-eyes', 'laughing-cat']"
kqyznxqhxr,"['ogre', 'smirk']"
qjtyxcmswf,"['cold', 'worried']"
qdcocimycj,"['med-mask', 'woozy']"
fxrtycmmlv,"['pensive', 'sun']"
nciryxrdvl,"['ROFL', 'smile-halo']"
vbmdirafdc,"['poo', 'sneezing']"
xpfngpapnp,"['demon-angry', 'shushing', 'flag-portugal']"
kiqbcpdvvj,"['tears-of-joy', 'sad-relieved']"
